fname,itp,tp_prob,its,ts_prob
SC.TQU_20180405154641.mseed_15000,[],[],[1063],[0.50086]
SC.WCH_20181029032135.mseed_3000,[],[],[],[]
SC.TQU_20180613014725.mseed_9000,[],[],[],[]
SC.WCH_20181029032135.mseed_6000,[],[],[],[]
SC.TQU_20180613014725.mseed_12000,[1515],[0.93127],[2836],[0.781097]
SC.TQU_20180613014725.mseed_15000,[],[],[],[]
SC.GZA_20180515232818.mseed_15000,[],[],[],[]
SC.WCH_20181029032135.mseed_9000,[],[],[],[]
SC.JMG_20180609160133.mseed_3000,[10],[0.947861],[698],[0.839678]
SC.GZA_20180927180336.mseed_15000,[],[],[999],[0.31341]
SC.WCH_20181029032135.mseed_12000,[1524],[0.681514],[2057],[0.417543]
SC.JMG_20180609160133.mseed_6000,[],[],[],[]
SC.WCH_20180523024206.mseed_12000,[1511],[0.932394],[1909],[0.861014]
SC.JMG_20180606230140.mseed_3000,[59],[0.736241],[1735],[0.439435]
SC.WCH_20181029032135.mseed_15000,[],[],[],[]
